date,name,activity_type,distance_km,moving_time_min,pace_min_per_km,avg_heart_rate,elevation_gain_m
2025-01-28,25 miles,Ride,0.0,93.63333333333334,,150.0,0.0
2025-01-25,Morning Run with Isaac,Run,9.7162,57.71666666666667,5.94025098975594,,4.7
2025-01-20,Afternoon Run,Run,14.539299999999999,81.46666666666667,5.603204189105849,171.4,49.8
2025-01-18,Morning Run,Run,10.601,60.05,5.664559947174794,172.5,39.9
2025-01-16,ACHO pr es otra cosa,Run,10.3391,60.583333333333336,5.859633172455371,174.0,67.0
2024-12-10,Evening Swim,Swim,1.8288,45.85,25.071084864391953,140.1,0.0
2024-12-09,Fastest 2000,Swim,1.8288,45.6,24.93438320209974,134.1,0.0
2024-12-07,Lunch Run,Run,5.565,32.13333333333333,5.774183887391434,168.9,25.4
2024-12-07,It was actually 16 miles,Ride,2.0374,59.7,29.302051634436047,146.9,44.8
2024-12-06,Afternoon Ride,Ride,0.0,40.18333333333333,,138.5,0.0
2024-12-04,Morning Swim,Swim,0.9144,22.983333333333334,25.134878973461653,147.3,0.0
2024-12-03,Morning Swim,Swim,1.8288,51.56666666666667,28.196996208807235,118.2,0.0
2024-11-30,Morning Run,Run,21.098599999999998,127.46666666666667,6.041475105773212,173.1,101.8
2024-11-25,Lunch Run,Run,5.0146999999999995,27.566666666666666,5.497171648686196,174.5,23.3
2024-11-25,10 miles 🚴🏽‍♂️,Ride,0.0,35.38333333333333,,158.5,0.0
2024-11-18,Afternoon Run,Run,3.977,20.716666666666665,5.209119101500293,157.4,14.7
2024-11-14,Long distance swim,Swim,1.8288,48.11666666666667,26.310513269174688,152.1,0.0
2024-11-12,Morning Swim,Swim,1.6688,47.56666666666667,28.503515500159796,151.6,0.0
2024-11-11,Afternoon Run,Run,12.8896,73.23333333333333,5.681583085071169,171.2,39.9
2024-11-09,Lunch Walk,Walk,2.656,40.666666666666664,15.311244979919676,93.6,72.3
2024-11-07,First time racing 🏊🏽‍♂️,Swim,0.1372,5.366666666666666,39.1156462585034,135.9,0.0
2024-11-05,Kick day,Swim,1.0058,42.016666666666666,41.774375289984754,137.7,0.0
2024-11-02,Afternoon Run,Run,9.9289,58.666666666666664,5.908677362715574,156.9,31.3
2024-10-30,Halloween Run,Run,4.016,22.716666666666665,5.656540504648074,152.0,5.1
2024-10-29,Diving every 50yds,Swim,0.4801,31.416666666666668,65.43775602305075,142.0,0.0
2024-10-24,Butterfly day,Swim,1.2344000000000002,47.416666666666664,38.41272413048174,143.7,0.0
2024-10-23,Evening Run,Run,21.2127,125.05,5.89505343497056,160.3,100.8
2024-10-22,Max effort sprints,Swim,1.1200999999999999,36.8,32.85420944558522,149.6,0.0
2024-10-16,Evening Run,Run,16.3715,95.63333333333334,5.841452116991927,156.9,88.9
2024-10-15,Morning Swim,Swim,1.4402000000000001,51.36666666666667,35.66634263759663,151.0,0.0
2024-10-14,Night Run,Run,8.399,45.71666666666667,5.44310830654443,163.0,32.7
2024-10-10,Swim practice & Sauna,Swim,1.2344000000000002,50.7,41.07258587167855,137.7,0.0
2024-10-08,Read below,Swim,1.3716,41.68333333333333,30.390298434917856,140.4,0.0
2024-10-07,Provo Run,Run,12.113700000000001,65.4,5.398845934768072,168.7,33.6
2024-10-03,Butterfly strokes,Swim,0.6628999999999999,54.666666666666664,82.46593251873084,137.0,0.0
2024-10-01,Flip turns & Sauna w the boys,Swim,0.7772,48.85,62.853834276891405,132.2,0.0
2024-09-26,Evening Run,Run,8.0818,44.28333333333333,5.479389904889175,156.7,50.5
2024-09-26,Morning Swim,Swim,1.4402000000000001,46.93333333333333,32.58806647224922,151.8,0.0
2024-09-25,Morning Swim,Swim,0.0,46.333333333333336,,123.9,0.0
2024-09-24,Morning Swim,Swim,1.3259,50.05,37.7479447922166,159.9,0.0
2024-09-19,Morning Swim,Swim,0.9372999999999999,43.43333333333333,46.338774494114304,150.2,0.0
2024-09-18,Evening Swim,Swim,1.3716,49.8,36.3079615048119,148.7,0.0
2024-09-16,Morning Run,Run,10.0137,53.96666666666667,5.389283348479251,176.9,29.7
2024-09-13,Evening Run,Run,11.466,60.2,5.250305250305251,168.9,65.5
2024-09-12,Morning Swim,Swim,0.6401,23.883333333333333,37.31187835234078,145.6,0.0
2024-09-11,Morning Run,Run,10.094,52.63333333333333,5.2143187372036195,175.2,70.4
2024-09-10,Evening Run,Run,1.0282,3.05,2.9663489593464303,129.7,0.0
2024-09-10,BYU team workout,Swim,0.7544,26.716666666666665,35.41445740544362,152.6,0.0
2024-09-05,Evening Run,Run,9.9824,49.13333333333333,4.921996046374953,177.8,29.6
2024-09-03,Speed workout,Run,1.5796,6.75,4.273233730058243,155.9,4.2
2024-09-03,Longest swim so far,Swim,2.7432,75.3,27.449693788276466,146.2,0.0
2024-08-29,Afternoon Swim,Swim,1.7374,50.06666666666667,28.817006254556617,134.4,0.0
2024-08-29,Morning Run,Run,10.0246,55.516666666666666,5.5380430806881735,172.3,27.5
2024-08-27,Speed workout by Skye,Run,2.1471,20.1,9.361464300684645,139.3,6.3
2024-08-26,Afternoon Swim,Swim,1.2344000000000002,36.43333333333333,29.515014041909694,138.3,0.0
2024-08-26,Morning Run,Run,10.017700000000001,56.28333333333333,5.618388785183558,176.4,33.6
2024-08-23,Evening Run,Run,6.3325,34.733333333333334,5.484932227924728,181.0,43.7
2024-08-21,Afternoon Run,Run,12.966299999999999,75.06666666666666,5.789366794433776,175.8,41.9
2024-08-20,Super painful run,Run,4.4008,23.716666666666665,5.389171665757741,175.3,44.4
2024-07-27,Easy treadmill,Run,4.828,21.0,4.3496271748135875,,0.0
2024-07-25,Night Run,Run,12.908100000000001,73.46666666666667,5.691516696234664,169.4,71.5
2024-07-24,Evening Trail Run,Run,6.8443000000000005,51.56666666666667,7.534249911118254,,411.6
2024-07-18,Lunch Swim with the boys,Swim,1.5773,44.666666666666664,28.318434455504132,140.5,0.0
2024-07-17,Evening Run,Run,6.299,33.11666666666667,5.25744827221252,167.3,39.1
2024-07-06,Afternoon Run,Run,8.1861,45.61666666666667,5.572454119381228,172.0,23.1
2024-07-05,Evening Run,Run,10.1616,55.75,5.4863407337427175,172.8,75.0
2024-07-02,Chest day followed by a 10k run,Run,10.084299999999999,54.36666666666667,5.391218693083969,170.6,69.5
2024-07-01,SPEED DAY,Swim,0.6858,13.0,18.955963837853602,,0.0
2024-06-27,Sometimes you win,Swim,2.4232,70.51666666666667,29.100638274458017,148.7,0.0
2024-06-27,Walk back,Walk,1.7486,29.883333333333333,17.08986236608334,103.1,0.0
2024-06-27,Sometimes you win sometimes you lose,Run,1.7302,9.233333333333333,5.336569953377259,162.9,19.8
2024-06-25,Sunset run after chest/tricep day,Run,10.2435,54.9,5.359496265924733,172.5,96.6
2024-06-24,Morning Run,Run,10.254299999999999,56.833333333333336,5.542390346813858,176.5,57.5
2024-06-22,Morning Run,Run,7.3085,40.13333333333333,5.491322888873685,177.2,3.8
2024-06-19,Evening Run,Run,6.451,60.88333333333333,9.437813258926266,,416.4
2024-06-17,Morning Run,Run,9.9109,56.983333333333334,5.749561930130799,175.1,105.7
2024-06-15,Trail run,Run,10.149700000000001,68.55,6.753894203769568,172.5,158.0
2024-06-12,Night Run,Run,4.7293,27.55,5.825386420823378,168.4,0.0
2024-06-11,Vasa treadmill,Run,5.1075,28.933333333333334,5.664871920378529,169.4,0.0
2024-06-09,Night Run,Run,4.9616999999999996,26.05,5.250216659612633,175.3,26.7
2024-06-08,Evening Run,Run,4.616899999999999,25.333333333333332,5.4870872952269565,179.5,23.2
2024-06-06,First run post-injury,Run,3.3876,19.366666666666667,5.716928405557524,161.4,7.8
2024-05-26,Late night walk to clear the mind 🙇🏽‍♂️,Walk,1.5332000000000001,20.366666666666667,13.283763805548308,,6.9
2024-05-18,ACHO PR PUÑETA TE QUIEROOO,Swim,2.7432,60.416666666666664,22.024156702634393,116.9,0.0
2024-05-13,Evening Run straight to RANCHERITOS,Run,16.2906,95.61666666666666,5.869437999009653,166.7,84.0
2024-05-04,Morning Run,Run,11.7096,69.26666666666667,5.915374279793218,172.0,16.9
2024-05-01,Morning Swim w Josh,Swim,1.6002,44.233333333333334,27.642378036078824,151.2,0.0
2024-04-28,Evening Run,Run,10.0477,56.36666666666667,5.6099074083289375,171.1,47.9
2024-04-26,Afternoon Swim,Swim,0.9144,23.483333333333334,25.681685622630507,132.9,0.0
2024-04-25,Night Run,Run,4.361,26.566666666666666,6.091874952228083,159.5,0.0
2024-04-24,Afternoon Swim,Swim,1.6231,42.81666666666667,26.379561743987843,145.4,0.0
2024-04-22,Lunch Run w Reid,Run,5.1501,27.3,5.300867944311761,170.4,20.8
2024-04-20,Night Run,Run,16.1295,96.26666666666667,5.968360250886057,166.8,75.1
2024-04-10,Evening Run,Run,3.8486,23.533333333333335,6.114777668069775,153.3,22.3
2024-04-02,Evening Swim with the boys,Swim,2.7432,70.0,25.51764362787985,,0.0
2024-04-01,Evening Swim,Swim,1.0515999999999999,34.0,32.33168505135033,,0.0
2024-03-30,🐟🐟🐟,Swim,1.4859,43.3,29.140588195706304,140.2,0.0
